itemid,hasbird
30cdab6a-0fc4-4485-b659,0.332
30d7d43c-486a-4830-971d,0.320
30d859bf-1567-4d6f-b7d5,0.344
30da1141-ec6c-4b4e-8b7c,0.994
30dd10e5-2e4c-428e-a6a2,0.995
30eccfe9-962e-4906-b5e4,0.285
30eec752-4b14-4fb5-8f98,0.408
30f350ff-fb6d-4e4b-9b9e,0.273
30fa80e9-9218-4408-a17b,0.340
30fb59d4-d01d-45a0-bc7c,0.891
30fd51d8-7ecf-4341-a9dc,0.291
3100e43a-8a31-4c52-9de4,0.194
31048c54-9a6a-420f-b998,0.204
310ef0b6-32d3-4aa9-b3e6,0.349
311a4467-1376-4139-8bfe,0.317
311c6913-9ea1-4f2b-9584,0.436
3123e031-be8e-4069-9b73,0.372
312a1d9f-4ab9-43ac-a037,0.243
312b113c-1f40-4b1f-8f7b,0.264
31361779-407a-45c1-bfba,1.000
314c9467-1c5e-4756-964d,0.684
314fd2d4-a01b-4344-bf9c,0.303
3150241a-ab61-4353-8846,0.312
315dc6be-269d-48b6-9d98,0.562
315f04f7-b5d2-40af-9799,0.387
3161ad23-99ac-4c18-8920,0.998
3178670c-5805-4c4b-a1e7,0.391
317ed684-eaaa-42e3-af7e,0.823
3184af84-3299-4eca-8336,0.262
3193a821-2b0c-4726-9939,0.407
319749dd-a23c-4cd1-82e7,0.894
319afbdf-090e-4c47-893c,0.302
31a71c9d-eb7a-4d22-a710,0.386
31aa24b5-adee-4bc1-806b,0.229
31aeb402-fe0e-49fc-b161,0.272
31bcec95-9e35-42c9-802f,0.869
31bf2b50-3985-4f1e-8c87,0.337
31c24bac-e242-4e32-bc84,0.277
31c4eaf5-3f41-45d3-bd3e,0.280
31c5bf5c-dc5e-4193-a54d,0.534
31cc351a-ee8e-4746-8e3e,0.225
31db8c59-c3a4-4157-b0ad,0.362
31dd81ce-a8f4-4fdc-9e2f,0.280
31decff9-fd33-44c4-9ecd,0.285
31df5492-5f4a-41a9-8160,0.223
31ec1a9a-0929-4b32-8b79,0.432
31f4ba70-eaf8-4029-b1df,0.296
3208ef0a-6bea-497a-8002,0.920
320fb72f-c1a3-4490-a07c,0.999
32145fb3-8480-499b-af56,0.996
322044aa-2593-4d11-8198,0.376
322405dd-9cd7-47d6-8283,0.291
322cf2d3-4132-4332-9d9b,0.391
322f5c09-05dd-48ab-94e7,0.999
32358770-c177-4682-a4e7,0.603
3235fe09-e71a-40b4-a582,1.000
3241c20a-6a14-40cb-b419,0.632
32421682-2d9f-40da-8d00,0.273
32482c65-bbf6-4745-97d6,0.456
324e8fbb-5162-401e-8204,0.380
326230a5-4a69-42ca-b07a,0.991
32660b46-c13e-4d49-b691,0.320
32693438-fd50-4466-aa25,0.136
326dc0fa-df5e-44b7-8e08,0.998
329bdd91-d2a9-459a-b3df,0.196
32a481d8-df5e-46de-8264,0.249
32a9a441-dac4-45c2-b690,0.614
32ad208c-be38-48a0-ad4f,0.257
32b228fe-27e4-4162-9051,0.965
32b7c411-cdf6-4ba3-8310,0.354
32be27ee-655c-4dca-a0ad,0.997
32d39dd8-a437-4828-ad8b,0.169
32e9cf91-8d7c-4650-913b,0.298
32f13f3b-8aba-4bcc-9212,0.077
32fe438f-9e55-4b8a-8dca,0.259
3301ac46-1cdc-4205-81d0,0.219
33067e0e-f76a-407f-aec7,0.340
331006f9-3471-4601-93d5,0.331
331351c0-ad90-4da6-bac8,0.274
33135487-8e99-4c43-a44d,0.068
331ad234-42d4-49b6-90fd,0.837
331e2d31-f5d1-473c-a9cb,0.221
333002d8-cde1-47a4-a6f1,0.221
3330b02f-695f-41f9-91bb,0.988
3339d435-cf8d-495b-b650,0.176
333c35fc-d50c-4df7-99ff,0.741
3342144c-bca8-4b4f-bccd,1.000
3344ccce-a17e-4969-b8d0,0.407
334663c8-74c7-4ba4-a4ef,0.891
334a340e-5fe3-485d-b755,0.308
335cc6e8-a896-43ad-a30b,0.349
336109c5-83ca-4f1f-9797,0.761
336be111-9481-42e7-bc39,0.251
336e636e-1959-4d9f-a54f,0.333
337560e4-8561-4f5d-b9dc,0.359
3378828f-28f7-4b37-ba4a,0.283
3380eb0e-cf38-478a-9b7c,0.630
33815de3-4d48-4691-a6b2,0.249
3387ae9e-a7f7-457a-8223,0.986
3389bc43-3c77-460e-8e24,0.216
338a2ae7-53a4-4b1a-a895,0.314
339498d7-005b-435d-8d42,0.129
3395efcd-d105-4105-945f,0.076
33994f64-78ba-4305-a052,0.988
33a95ddd-737f-4620-be89,0.179
33abbe22-4463-43df-a574,0.221
33cf8b15-febb-4dac-9410,0.995
33d5a197-89aa-4198-9b4f,0.185
33d78076-816c-4807-9faf,0.058
33e20868-f1f3-422a-9011,0.317
33e73a3c-bc6a-4da6-886a,0.287
33f7e2e1-669d-434b-9882,0.334
3401084d-4480-4ea8-ac00,0.466
3403bbd0-6f10-465c-aec2,0.362
3404ed5f-db6e-420c-9227,0.386
341bc66d-f7ea-4a6e-8c36,0.342
341c8228-d456-4a4c-9591,0.977
34210a67-2b4b-4056-ba4e,0.352
3427dde5-50e0-46dc-ab42,0.074
34399b96-f9b7-440e-809e,0.254
3444df47-0b01-4c39-bcbd,0.955
34472023-f2b1-4f09-a9cb,0.334
344a0b8f-c48a-4794-86e4,0.435
344e6feb-5a47-4593-b5e7,0.664
344e7566-cdf6-4a2c-a8bb,0.254
345a3376-bd07-4d8f-97bf,0.328
34656318-8fe1-46f6-ade7,1.000
346609a2-622f-4c55-a58d,0.333
3468b4cb-3062-4e62-8d6e,0.773
3469519a-5808-42c2-8b6c,0.342
34696939-122b-44a6-ae79,1.000
346f6f4e-1cd4-41be-b934,0.349
3475f4d2-8a4b-4833-8aa0,1.000
3492fceb-37a3-4c4b-8169,0.279
34956622-21cc-4121-b7a7,1.000
34ad7b67-64d0-4b6c-b048,0.380
34b23b05-1768-486a-afe5,0.999
34b4ab3e-743b-47ac-bbec,0.427
34b71052-2d8b-4f96-8a2d,0.930
34b7dd8c-c39d-4ebb-a5f5,0.394
34cca12d-5e9b-4b84-9d88,0.322
34d60405-457d-42b8-bfed,0.993
34e1b7d0-a22a-45d6-aba8,0.996
34eb1eb1-406e-405c-bc00,0.378
34f0ca1e-53de-4753-8a05,0.313
34fa4304-f7de-4cd7-a17a,0.321
34fac514-f716-4baa-8401,0.058
350e3934-8617-48f3-93e8,0.408
351103ee-ef92-4e88-9cae,0.425
351378d7-4049-4f3c-8050,0.356
3515ecfb-2813-4cce-8db5,0.280
3515f7b8-80eb-43aa-ac66,0.384
3516ce8b-e916-4a74-b7ef,0.150
3517f04d-074a-4f4e-9150,0.996
352252a3-9609-4e3d-82e2,0.372
352418b7-61d1-49b8-8e32,0.287
35254a7e-03e8-4920-baf8,0.384
3525e99a-a368-4c2e-927c,0.011
352fbca5-8be0-4e75-a375,0.312
3530baee-03de-44db-a0f9,0.262
3535fe43-87a4-4afc-9539,0.991
353f4f7f-c92a-4592-99e6,0.370
35419ffb-2c28-4644-9ae2,0.364
35487301-5e37-41fb-9332,0.235
35489b30-5fd6-4a0b-abfc,0.145
355e88e5-d756-4629-b6cc,0.149
35630a58-4121-411a-adeb,0.234
3565e19a-f92a-4ad5-ba91,0.305
35777d2e-eccd-47b8-9ef5,0.372
3577ba6b-e39d-4152-9d1d,0.348
35821748-d14b-46fc-8f99,0.302
358225b1-2ac1-4c5f-9aab,0.376
3587f133-c7ad-4b35-b26d,0.996
3589ef01-f453-405b-b633,0.105
3594e811-664f-4b87-87d7,0.258
35a9eb2f-d905-4397-87fe,0.574
35b87c5a-9422-4164-a545,0.994
35b9566b-9980-485a-b040,0.313
35ba9311-35ce-42b0-ad5e,0.342
35bb4ebe-ab61-4281-8e25,0.359
35bd6aaf-ddf4-48e6-919e,0.202
35c1cc9d-f2fc-451e-9f99,0.953
35c3bc5d-fbad-4ecd-b243,0.580
35d45eb3-e07f-4319-bbf7,0.332
35d5590a-0e61-4cda-95f5,0.248
35eebea5-0857-4c96-a965,0.580
35f03724-8bae-462e-be40,0.729
35f82dae-e703-4e96-8fd2,0.566
3614d1c8-2639-4a72-8565,0.263
36212d83-0b7c-4714-920c,0.987
362eb6ba-d80e-405b-856a,0.445
363261ea-350b-4ab6-8428,0.401
3634b5ab-e0e8-404e-b7aa,0.343
3636b87a-e3df-4aab-bf0d,0.951
363f28a7-4673-43a2-8ed2,0.970
3643925d-b2b3-478a-bf19,0.998
36483379-b447-4da6-9039,0.113
364abec0-9209-484d-9c9d,0.994
364e663b-ba90-400d-b7ff,0.929
36557dca-d44c-48ca-8de6,0.336
36592244-bc65-47b6-80af,0.110
36612d22-1946-4776-89d8,0.988
3662c498-fe81-4d59-88e1,0.317
3672a6b5-676a-49d4-ad2f,0.064
367dc01d-2c7f-49a4-bab8,0.429
367de03d-2bb5-47dc-8058,0.104
3684e5df-5b66-4c4a-b500,0.324
368657a4-75f6-47cf-8967,0.293
3693e6a6-8f2f-48f9-9d08,0.363
369a2438-1ce1-4356-9a54,0.300
36a878c4-9ad1-476d-8467,0.388
36a95c8a-373e-4775-83e6,0.999
36b565f1-f0c3-4dce-90bd,0.921
36b85e7a-e584-4694-9e81,0.325
36d2b1dd-50aa-49cc-b54b,0.445
36d56ca1-f55d-4b22-9f8b,0.409
36dd7cca-32e0-4550-a1c2,0.360
36ea215d-bd28-4089-a61d,0.394
36ebc3b4-7c06-4928-b532,0.285
36ec2578-084b-4d7e-91e2,0.387
36ffb1aa-044c-4008-8572,0.217
3704c642-980b-4de5-a098,0.271
37077212-551e-4234-b3c7,0.999
3708a526-bbe1-4172-8112,0.932
3724cd25-80ec-4346-a92d,0.321
3726267e-e4c8-44c5-9934,0.518
3727915c-c5b0-42d5-9715,0.999
373dbdf7-152f-4e5b-ac76,0.939
37433429-887f-4ac5-976e,0.964
374459d2-0706-485a-b405,0.240
37495595-5a0b-44b6-bc27,0.255
375bf073-e669-46b9-b6cf,0.318
376950dd-44c1-42a0-9e0b,0.440
376a1663-9329-4ef3-964c,0.341
376da34b-35e7-47ca-945c,0.366
37827357-c4e5-44c3-9a74,0.414
37830709-8822-498e-81d5,0.071
3796bdec-3fbc-435e-9ad3,0.299
379b623c-ba4e-4f0b-a4c1,0.651
379b78f2-a2df-4b0c-85a0,0.468
379f1a40-784b-42e7-a3f8,0.329
37a4aaaf-4ae5-4374-b78a,0.292
37a9e561-d424-4634-9c77,0.326
37bd8d82-6d85-438a-9de9,0.258
37bf05b1-ac8e-40e3-8521,0.295
37bff2ac-3886-4e64-be25,0.341
37c1f457-8e0d-4647-acbb,0.116
37c8f4a8-0f89-46fb-aa51,0.291
37ce44a0-7a8b-4843-9d87,0.079
37d56f40-c419-4f2a-a02f,0.154
37db6493-7547-4a92-acd7,0.422
37e525d1-ed06-4fd7-9a77,0.461
37e679b9-664f-4f58-999a,0.359
37e71b6e-2a31-41cc-8692,0.118
37ecafd9-2eac-46a3-b6ec,0.374
37feff7f-bba5-4946-a886,0.344
38002a89-b374-4e22-b613,0.276
38061ff5-289e-488f-a5aa,0.230
3807f153-d652-4bc9-88a1,0.857
3808e111-e722-41db-8a62,0.188
3811c33b-efed-4d1b-a553,0.101
3814d0cb-ec7b-4b46-97fb,0.216
3815df27-6c9a-47a1-b898,0.331
38196ead-dc9c-45a9-8497,0.076
381e4199-a1a0-41ef-9d75,0.297
381f45cb-26ca-4f35-853a,0.427
381f55eb-b142-4399-83e2,0.169
383cf3d9-cbe1-462c-9c7e,0.270
38417ca8-fb04-45ae-87e5,0.292
3850eb08-241c-4e05-9cdd,0.245
38633d99-15ec-4665-9217,0.394
3866d28c-c3e3-4b47-9fdb,0.303
386749cd-e022-49d6-b935,0.192
38725d4f-2da8-41a7-ad60,0.998
387f4810-31c2-42a5-a392,0.408
3883b728-01a2-4358-aa03,0.348
388dbf5f-a18e-4016-ac96,0.954
388e6a59-6945-44dc-9517,0.293
388ed4c3-79da-42dd-b15e,0.353
388f94f8-87d4-46d1-a792,0.998
38982ba1-4746-4633-b40e,0.288
38bcb6ea-ebe0-4e0f-83a6,0.178
38c3d928-7e57-410c-b248,0.308
38cab84d-bef7-400e-8dac,0.163
38e9c80b-0740-4f03-b555,0.412
38f39e09-460d-4274-b9dd,0.702
38f43940-a7fa-4261-9a5c,0.083
38ffb777-f6cf-4a2e-b041,0.435
390443f4-85a5-42a9-abe9,0.210
39165ef4-065b-4ba5-a882,0.316
391b8c92-fde8-4b42-ae9a,0.377
391c35cb-23b1-4e84-81bf,0.545
3927a130-8a5d-43d8-b587,0.308
392e6b29-2268-4515-a425,0.770
3930e1c9-ab91-4183-8a1f,0.915
393412c3-e20e-458a-b94e,0.198
39394a16-8cbd-4e4b-bd03,0.230
39417995-4fe9-48b1-9fa7,0.498
394627e2-ad5f-4535-8a10,0.395
394b7125-9169-40c4-a431,0.507
39514d08-edfd-4654-8096,0.226
395a0156-81a3-4f31-b25e,0.432
395be1fb-2ad2-467a-8a4a,0.684
395ebc40-4e34-4d75-85c8,0.417
395f7c6b-e801-4a88-aa65,0.999
3964034f-0581-477f-a792,0.445
396c27d3-a411-4c0f-a4d5,0.257
396f2202-8ba3-4b4a-a476,0.305
39741e09-5f3c-4015-816e,0.319
39754ce7-4f0b-4eb8-9807,0.853
397704b2-a073-4846-9f51,0.275
39770e02-028a-4f3f-be40,0.202
39773f5c-6cb9-4ac3-ac34,1.000
3982229a-f0db-47e5-a6be,0.931
39875599-d266-4877-8666,0.360
39aa2f77-7553-4a80-86dd,0.997
39ae612a-de57-4a9c-a3c5,0.591
39b502af-825f-403e-9589,0.283
39c3dcb6-e70a-403d-8684,0.448
39debdec-3393-4efe-8f5d,0.593
39ea7cc5-e370-4262-a0f6,0.019
39ebc18f-b2f0-4659-8720,0.574
3a06b269-1f63-437a-829f,0.848
3a0d4e5c-8456-4496-b339,0.368
3a0e8c36-5949-4372-9a3d,0.328
3a0e950a-e4af-4064-9a73,0.531
3a0ee2d2-85f0-4c14-94cc,0.212
3a11ee8d-9ef4-48a9-a237,0.104
3a1eb3f8-7200-4d75-bd76,0.933
3a23f97f-0ecc-4aad-81cc,0.369
3a27898f-e1a0-4b7c-9a70,0.062
3a27cca7-2748-4970-95d4,0.271
3a2b5890-953b-479b-bcaf,0.136
3a2e0c58-8740-4061-ab78,0.260
3a40d1bb-a437-4bce-b661,0.382
3a422be4-5787-4bf8-85ae,0.232
3a42599d-c507-421f-8bf9,0.562
3a559a3e-19a3-4679-91bb,0.383
3a5936a2-3a46-4a70-96e5,0.999
3a5f715f-dc39-4b0c-8e82,0.347
3a60a5fa-9ba8-4783-bcc4,0.072
3a6a30c6-4972-4668-8a50,0.235
3a71e01c-bb87-41a8-bb6a,0.991
3a7b0643-e2ce-438f-b7a9,0.263
3a7c1623-f64e-42b1-8b9a,0.425
3aa42342-d905-4c58-ac5d,0.990
3aaa4b86-4f53-4563-853e,0.351
3ab67b9a-35d3-4647-a01e,0.271
3ac385f4-8bea-467b-8e66,0.259
3ace652c-d59d-4930-b407,0.294
3adf8335-f4fe-4eb8-ba93,0.999
3ae3e3ee-e29b-4f25-b7ad,0.998
3ae5fd69-31db-4619-84aa,0.862
3aeb673b-0bcc-41e0-a580,0.958
3aec0df2-0d07-4baa-bc51,0.263
3aeed611-6a62-47de-92e7,0.361
3af34987-ac9e-40c3-8780,0.344
3b07028e-a415-4f9d-a528,0.187
3b099b45-4994-4016-b2fe,0.287
3b09cb0a-7309-4eb6-8c33,0.278
3b0f11c9-1ade-4c0a-8689,0.322
3b0fbfa1-d6a2-4eca-a722,0.253
3b13da70-eef4-433b-8a6a,0.404
3b3a48ca-a406-4806-9206,0.324
3b3e3c75-5b58-4eac-9b99,0.998
3b420399-106a-4f34-97ec,0.102
3b469692-0b15-4ac1-a680,0.780
3b5daa5d-17c5-44ff-b0a5,0.427
3b5e72eb-102f-46d9-a157,0.989
3b71be3b-4763-40f3-9027,0.058
3b7e7d9c-bfe0-4fd7-8528,0.292
3b83c78c-bf19-4bbe-832f,0.791
3b93a2f6-2fd6-4b8e-aa88,0.987
3b9c58ff-9bc1-4140-86fe,0.209
3b9f5c4b-bc8b-40bc-9c9b,0.345
3b9fea47-6574-4785-b58c,1.000
3ba37fec-cabd-4b7b-b295,1.000
3ba90e12-2337-4f25-966d,0.201
3bacda17-2e68-444c-9ec6,0.329
3baf048f-f0d6-4866-9d08,0.291
3baf9d0e-6632-4df5-8fe2,0.248
3bb8dc7e-88a0-4e21-b2b3,0.278
3bb9621d-63b6-453b-82fc,0.320
3bbcd401-0318-4ad2-a5ce,0.547
3bc243ae-e37e-4bce-833e,0.485
3bc652a8-d46f-4e48-8aa9,0.329
3bc797be-ad44-4227-a5bd,0.341
3be378aa-23c2-4b9f-97f6,0.105
3be589cb-9b60-4dc9-88ca,0.952
3be6ca50-8808-4424-9373,0.312
3bea6741-baf0-441f-8fde,0.347
3bf1ed56-8681-42c7-bac2,0.306
3c070dfc-178a-4f6b-8d51,0.999
3c1080c0-8a3d-43b9-98b8,0.073
3c151885-468a-4a5e-8cdd,0.215
3c1d4d58-6766-4e67-805e,0.307
3c251896-d580-4b00-b0ba,0.995
3c252ae7-5fa1-4c9a-a828,0.934
3c3adc77-bed4-4f0a-89d4,0.956
3c410581-e3a2-4dac-9665,0.359
3c44c2b8-fbf6-449e-a01d,1.000
3c51cdcb-dd5b-4c36-b546,0.081
3c5223d0-8f5a-4802-adc2,0.286
3c56d2fa-da46-41b0-86b3,0.313
3c59689e-d2d5-4ac2-aa39,0.147
3c6f94c0-1dea-4dff-8004,0.731
3c7328d5-35c3-4be8-9411,0.969
3c7cbbf6-be45-4a84-8e6d,0.344
3c873c0a-51b4-4a37-a8ef,0.241
3c8c0dd0-4ca6-47b0-a03a,0.219
3c8f8d3e-85ed-480e-b911,0.279
3c96743a-06c4-472a-8e79,0.957
3c9d25f7-c881-4e52-87d6,0.028
3ca5ba31-459c-47c7-a4e1,0.930
3ca795f9-dde9-4b10-9cd5,0.358
3cb4311d-73be-4def-9458,0.319
3ccae03e-d424-438b-9852,0.286
3ccbac8b-6e2e-4f11-b7db,0.241
3cce5432-d078-49b9-9a24,0.159
3cd79201-5828-40af-bb65,0.304
3cd88cf5-9396-4484-a60b,0.188
3ce31c88-045d-4065-9f10,0.216
3ceff212-68a7-4837-a47c,0.933
3cf86376-de45-42c4-9c44,0.250
3cfce2b5-40c2-4942-8590,0.757
3d07dfb7-9509-4e3e-bb70,0.329
3d0aff1c-a5e5-4efd-b07a,0.273
3d0bc547-d44e-4f94-8430,0.109
3d144e74-e4ab-4a29-beba,0.991
3d1f8101-3849-427b-9bf8,0.907
3d2d271f-5ae4-427b-ba7f,0.187
3d2d7e21-9e42-4ee5-8883,0.465
3d30301a-62eb-49bc-bde4,1.000
3d32c03d-06f4-4312-9467,0.234
3d338f53-cd3d-4b8f-8003,0.061
3d3d68d7-0d46-408e-a1dc,0.331
3d485168-a71d-4de2-84c7,0.238
3d4a59cc-df16-4531-a7f9,0.270
3d503c5d-c0b7-4940-94f4,0.996
3d539720-bea7-4207-8d8a,0.382
3d6eb0fe-7b03-435f-8faf,0.708
3d771496-8370-42d1-9895,0.309
3d780a3f-87ce-465c-a41f,0.994
3d7d8f31-2945-4c1b-ac44,0.296
3d7f3de7-41c2-41f6-bee2,0.348
3d86501b-a85e-43f8-898e,0.166
3d89f5d2-4ba7-47a0-8dc3,0.353
3d8a8557-ade0-4f42-8fb8,0.998
3d8e3e9c-15f4-4240-8007,0.274
3d94fac1-a2d4-4f3b-a0a0,0.230
3da2664c-0b92-4c65-bc04,0.938
3daf810d-2884-4a53-b57f,0.311
3dc788b0-524f-4748-85e4,0.244
3dcf7195-3a5e-4fcb-b6a9,0.451
3dec654d-be62-45eb-a68c,0.321
3df83a1d-ebac-4844-9bed,0.261
3dfd103d-e5ed-4866-bf54,0.123
3dffd54d-c555-430b-a2b6,1.000
3e03b66a-b472-4507-a264,0.404
3e09f6e8-cd49-4f5c-b777,0.190
3e142b0f-f02f-4233-8a4f,0.288
3e1c99f9-8897-4a5a-ac57,0.436
3e1f23a3-a6a4-4439-be4c,0.294
3e238c4a-696c-4744-88b3,1.000
3e265e3e-4a0e-493b-8456,0.323
3e2df7fe-15a7-4b65-8b9f,0.541
3e2f4b5c-8ed4-49ad-93cf,0.263
3e36b2e3-f034-4ea8-aab0,0.260
3e46c7bf-758f-4cfe-9c89,0.528
3e4a1e57-3123-46b9-b419,0.986
3e53ff65-9acb-4192-b52e,0.350
3e59791d-7970-47ca-ab2c,0.459
3e59ca88-9cda-4746-9e2e,0.104
3e5b86e9-6e17-4941-84e1,0.407
3e6b9652-cba9-4f08-8eb3,0.335
3e6bc443-966e-4dee-89aa,0.075
3e7156df-3ca4-498e-968e,0.223
3e7a0e4f-9cc6-4ee9-92b9,0.318
3e823aa4-d144-4f8c-9432,0.120
3e93d8ce-a8bf-44e1-83d2,0.989
3ea15d2a-3a23-402a-a9ef,1.000
3ea309b8-7364-428e-bc35,0.315
3ea3e6f6-ec58-46f9-97bc,0.359
3eb64822-2944-4931-b0cb,0.237
3eba377d-de46-4672-bae5,0.386
3ebb8ecc-5dc4-4ce4-8f58,0.262
3ec2e3ec-e40e-4248-af1e,0.621
3ec43410-c0ea-4d73-8972,0.224
3ec5d690-02b8-4cde-8c22,0.987
3ec6adb0-aa35-49ff-aa39,0.724
3eca2701-1d51-4978-adf8,0.289
3ed1a5e2-123c-4851-85b1,0.212
3ed76a80-4684-43a2-ace8,0.247
3edf5418-3e9f-49a0-a608,0.341
3eeb6044-57d7-4014-a979,0.459
3eebacce-06c3-4f2b-8068,0.373
3f0dafb7-7094-44b4-aa99,0.233
3f0e6523-71b2-42d6-8a83,0.115
3f128433-09d7-447b-84fd,0.282
3f19e117-626e-4c25-9545,0.350
3f2251f0-40cd-4ce5-8770,0.338
3f230d01-745f-4789-983f,0.299
3f32f73f-a793-4454-9aef,0.284
3f39b269-2617-411d-bdd1,0.276
3f3fc0b3-35d7-4cf5-b662,0.312
3f4062e3-5239-4f94-b5da,0.410
3f4b244e-5cbf-412b-a833,0.355
3f4d71c9-e22c-42a3-a0c0,0.718
3f4dc8d0-b1a6-48a4-ad1c,0.523
3f5109f0-426b-4247-b8b2,0.233
3f5a3ef9-db3c-4f64-86a5,0.209
3f6e8262-bc90-4559-9570,1.000
3f7c15d9-871e-4220-92d6,0.372
3f851c4b-6fb3-45d7-9d81,0.936
3f94f29d-6e2b-4dca-8ce9,0.509
3f973936-4690-4494-92e9,0.287
3f9a5112-8b87-49f0-bd21,0.996
3f9aad42-cec0-4165-9192,0.371
3fa919ef-53d2-41ac-b19d,0.272
3fc2eb29-2a39-428e-8021,0.337
3fc96fb7-bf7a-4bd0-a5db,1.000
3fd02f86-0373-4028-83c4,0.560
3fef9178-91d5-4c90-ba33,0.405
3ffe59e9-8a20-45b4-82ba,0.959
3ffe9994-46f6-4a59-ab15,0.206
4011e60d-d7e6-4c86-981d,0.126
401b8ea3-826c-461c-a347,0.869
401d9eae-1e97-462b-98d4,0.935
402f15e8-dbd3-48f1-9ddf,0.568
4031af6f-9f21-4756-be73,0.394
4035b15f-382d-47c3-a176,0.341
403a2284-2918-4adf-9d97,0.306
4040d101-ab3c-4452-b233,0.288
404682a9-b4f7-4d32-87de,0.314
404b214a-4554-4b2a-acad,0.364
40596177-bfae-46cb-9859,0.184
406f4df1-e32d-4849-a413,0.372
407820c5-cf2a-40e5-940d,0.290
40783bff-60b6-45e3-a9b6,0.256
407b98e2-b8d1-4858-83f5,0.296
407fa3fa-149d-4316-b5d7,0.525
40887bd5-7b73-42d2-b2a4,0.271
40889713-de16-4013-981b,0.281
408df633-04d0-4e5a-9d6b,0.229
408f5a07-acf2-4b07-ab1d,0.335
409f3647-a678-4d6b-aef4,0.388
40a683e7-eba9-4b88-85b9,0.994
40ad0854-e2f5-4f9d-afc2,0.287
40b0b109-5900-4da1-bdce,0.146
40b85103-af22-4d28-9edd,0.372
40b92fa1-1643-4b6b-9f5d,1.000
40bf48b5-87aa-4db0-b708,0.285
40c82a47-f64a-4ffc-86c8,0.196
40d4a78c-42e9-412d-ae90,0.979
40dddaef-1307-451f-a439,0.272
41149bce-557c-4155-8f5e,0.319
41168500-bfed-4d80-9074,0.976
411c95a6-5d93-4742-9787,0.293
4120ba48-b4a2-467c-878c,0.515
4127cda5-6420-4449-bd1b,0.391
4128eab8-1531-42b3-8b84,0.085
412ba927-0589-4642-8fb1,0.334
4134b975-5f3e-4c03-8f10,0.384
4137488f-e323-419b-9022,0.246
413a417c-73e1-442a-b8c1,0.499
413b5818-84dc-4506-9a0e,0.993
413edf41-8a2e-4952-aae9,0.504
414480d3-06cb-4e5a-8577,0.353
41475f6b-4dd1-4098-8e49,0.351
415222ea-a7ed-40ba-af76,0.177
417d5a46-0979-4c93-9a8c,0.996
4182c640-6758-4a94-a84e,0.980
418888cc-04ee-4a0a-a00c,0.281
4191e6cd-bf76-44a2-b6c8,0.081
419a4e3d-179b-4eb8-b151,0.171
41a28a2f-a2b0-49d5-b881,0.127
41a429f9-29e5-493d-814d,0.259
41a8ec8e-8117-4537-b049,0.437
41acbe8c-b3dd-42e2-93ce,0.228
41b3e427-2c54-4ffc-a5b5,0.999
41beebe3-f11f-4819-982d,0.939
41ca44fc-cb6a-4175-ae5d,1.000
41cdcbae-182d-4c2f-a5af,0.312
41ceb09d-51a8-4c16-982f,0.339
41e22198-f105-4297-aa0f,0.328
41edb1d6-ffe9-45f5-ba92,0.291
41f38b06-9d6d-41fb-a764,0.350
41facfdc-88b6-4233-9291,0.057
42154666-f53a-4f85-81c3,0.317
4219b4a5-b2b4-4154-b7d2,0.397
42222245-b913-4f9c-b738,0.443
422396e6-61a2-4c40-b3df,0.398
4226a882-b256-474e-be06,0.348
4229452c-0037-4b96-80ed,0.078
4235c81a-90a9-4c68-a957,0.966
4245208e-804f-4026-b5b5,0.978
424e1d10-b061-467f-bac2,0.460
4250f9c4-37f6-4099-ba6e,0.221
425d4270-3d05-4985-bf64,0.263
425e5bf6-1a29-486f-86d5,0.987
42699a65-ccb0-4e80-8a03,0.256
4269fb58-b235-445e-8651,0.222
4277660c-d5e0-4d5e-ba82,0.516
427aa32e-5730-4a1c-895b,0.433
427bea2b-f602-413d-942d,0.994
42878220-204f-4198-9db8,0.995
428d1220-838f-463d-9412,0.998
42a21e85-d2f8-4786-a161,0.347
42abb8f6-f087-4fb6-bb37,0.298
42b08f31-d954-459b-837e,0.173
42bc262c-5f62-4af1-b160,0.476
42bd7471-2f05-49fb-92a8,0.277
42c22374-6f3c-4f29-ae3e,0.274
42ce6667-75ce-4ff3-9446,0.325
42d47770-7fad-4af2-8126,0.342
42d5fbf2-a02f-4793-8ba1,0.260
42d8460c-bce0-46c5-9242,0.327
42d90ce2-f3a9-4d79-a196,0.291
42e47504-d703-4ef6-9e57,0.221
42e9810e-5f75-4b70-b7b6,0.402
42fc9877-8b13-40b2-9998,0.279
42fcc328-fc97-4460-9ce6,0.308
430501e1-9414-4207-8bf2,0.344
430e1f11-7fab-494b-8bda,0.290
431b2c9c-8dd2-4c7d-8739,0.975
43247861-17da-4763-9e90,0.260
4326ec7c-d4ec-4442-8705,0.406
4327f99c-9505-427a-ad9c,0.101
432dc861-cc75-4d71-8c7e,0.198
4337d297-65c7-44b0-9b8b,0.226
4346dbc8-13bb-4152-b907,0.044
434763fe-1d0f-4c65-bcc0,0.201
435a6f63-4a85-4490-907b,0.294
435faaef-91b1-49a9-a923,0.333
4360f781-65a5-4ff7-979a,0.936
43661925-ddbe-4afd-ab80,0.342
4372f9cb-eb30-4e15-ac09,0.227
4376c410-609d-46e6-9df2,0.631
43791cf0-ebd5-4133-912a,1.000
439a01c8-542b-474b-957b,0.349
43a66176-f97d-401a-a000,1.000
